# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.150000000000000000e+02,3.628805467909890919e-02,2.685334859362020559e-05,2.016498733071878449e-02,4.211147915226200189e-02,3.162277660168379134e-02,2.352350571914055850e+06
3.140000000000000000e+02,3.750750366722218482e-02,2.907512458004226472e-05,2.028541006880727263e-02,4.532499792422792911e-02,3.162277660168379134e-02,2.345292935770397075e+06
3.130000000000000000e+02,3.873096809351190412e-02,3.132985074161953728e-05,2.040690571667867770e-02,4.854909826709284670e-02,3.162277660168379134e-02,2.338235623116015457e+06
3.120000000000000000e+02,3.995848423739876976e-02,3.361805977764479805e-05,2.052948679507970997e-02,5.178387578520982776e-02,3.162277660168379134e-02,2.331178645600538701e+06
3.110000000000000000e+02,4.119008880927566008e-02,3.594029423025340691e-05,2.065316600383718115e-02,5.502942721861291131e-02,3.162277660168379134e-02,2.324122014988200739e+06
3.100000000000000000e+02,4.242581895680123255e-02,3.829710669095860834e-05,2.077795622486232341e-02,5.828585045962856453e-02,3.162277660168379134e-02,2.317065743159554899e+06
3.090000000000000000e+02,4.366571227130936622e-02,4.068906001203578967e-05,2.090387052521229180e-02,6.155324456976590808e-02,3.162277660168379134e-02,2.310009842113222927e+06
3.080000000000000000e+02,4.490980679433387995e-02,4.311672752289454020e-05,2.103092216021013039e-02,6.483170979691087188e-02,3.162277660168379134e-02,2.302954323967673350e+06
3.070000000000000000e+02,4.615814102424150439e-02,4.558069325155160380e-05,2.115912457662422544e-02,6.812134759280549789e-02,3.162277660168379134e-02,2.295899200963034295e+06
3.060000000000000000e+02,4.741075392298332164e-02,4.808155215135259642e-05,2.128849141590886257e-02,7.142226063083949306e-02,3.162277660168379134e-02,2.288844485462934710e+06
3.050000000000000000e+02,4.866768492296019016e-02,5.061991033306700258e-05,2.141903651750681412e-02,7.473455282414216694e-02,3.162277660168379134e-02,2.281790189956383314e+06
3.040000000000000000e+02,4.992897393401455469e-02,5.319638530251562508e-05,2.155077392221554922e-02,7.805832934400737388e-02,3.162277660168379134e-02,2.274736327059676871e+06
3.030000000000000000e+02,5.119466135053767075e-02,5.581160620385150527e-05,2.168371787561817685e-02,8.139369663862267013e-02,3.162277660168379134e-02,2.267682909518348053e+06
3.020000000000000000e+02,5.246478805870513629e-02,5.849119012050388690e-05,2.181788283158066222e-02,8.477696266981486761e-02,3.162277660168379134e-02,2.260629950209146366e+06
3.010000000000000000e+02,5.373939544383875278e-02,6.149132218614076085e-05,2.195328345581675292e-02,8.857564966753385394e-02,3.162277660168379134e-02,2.253577462142051198e+06
3.000000000000000000e+02,5.501852539789941349e-02,6.453705263641465874e-05,2.208993462952181866e-02,9.238781518732938625e-02,3.162277660168379134e-02,2.246525458462330513e+06
2.990000000000000000e+02,5.630222032711030417e-02,6.762914324952842219e-05,2.222785145307733939e-02,9.621358561162361711e-02,3.162277660168379134e-02,2.239473952452629339e+06
2.980000000000000000e+02,5.759052315971669583e-02,7.076837036587392614e-05,2.236704924982746076e-02,1.000530888786107520e-01,3.162277660168379134e-02,2.232422957535099238e+06
2.970000000000000000e+02,5.888347735388391180e-02,7.395552520399172600e-05,2.250754356992896651e-02,1.039064545057951233e-01,3.162277660168379134e-02,2.225372487273570150e+06
2.960000000000000000e+02,6.018112690573438478e-02,7.719141418419723404e-05,2.264935019427662816e-02,1.077738136139439612e-01,3.162277660168379134e-02,2.218322555375757162e+06
2.950000000000000000e+02,6.148351635752723893e-02,8.047685926007851513e-05,2.279248513850515301e-02,1.116552989514647681e-01,3.162277660168379134e-02,2.211273175695511978e+06
2.940000000000000000e+02,6.279069080598978503e-02,8.381269825809204278e-05,2.293696465706968057e-02,1.155510449192355682e-01,3.162277660168379134e-02,2.204224362235113513e+06
2.930000000000000000e+02,6.410269591079280349e-02,8.719978522544884778e-05,2.308280524740620454e-02,1.194611875958635494e-01,3.162277660168379134e-02,2.197176129147604574e+06
2.920000000000000000e+02,6.541957790317762256e-02,9.063899078652675129e-05,2.323002365417401252e-02,1.233858647633962746e-01,3.162277660168379134e-02,2.190128490739168134e+06
2.910000000000000000e+02,6.674138359474483806e-02,9.413120250805226223e-05,2.337863687358156251e-02,1.273252159335143963e-01,3.162277660168379134e-02,2.183081461471550632e+06
2.900000000000000000e+02,6.806816038639589006e-02,9.767732527326415443e-05,2.352866215779774589e-02,1.312793823741802424e-01,3.162277660168379134e-02,2.176035055964534171e+06
2.890000000000000000e+02,6.939995627743991702e-02,1.012782816653227269e-04,2.368011701945054587e-02,1.352485071367785507e-01,3.162277660168379134e-02,2.168989288998443633e+06
2.880000000000000000e+02,7.073681987486374334e-02,1.049243750444740878e-04,2.383301923621453794e-02,1.392186209903675254e-01,3.162277660168379134e-02,2.161944175516717136e+06
2.870000000000000000e+02,7.207880040277195310e-02,1.086222151437758190e-04,2.398738685548964730e-02,1.431975923082073054e-01,3.162277660168379134e-02,2.154899730628511868e+06
2.860000000000000000e+02,7.342594771199964510e-02,1.123775037255682135e-04,2.414323819917278680e-02,1.471918831290117136e-01,3.162277660168379134e-02,2.147855969611369073e+06
2.850000000000000000e+02,7.477831228989985368e-02,1.161912334980751631e-04,2.430059186852468953e-02,1.512016431477468670e-01,3.162277660168379134e-02,2.140812907913918607e+06
2.840000000000000000e+02,7.613594527031058989e-02,1.200644168390578939e-04,2.445946674913350785e-02,1.552270239762063853e-01,3.162277660168379134e-02,2.133770561158651020e+06
2.830000000000000000e+02,7.749889844370584646e-02,1.239980862380313654e-04,2.461988201597799242e-02,1.592681791731090368e-01,3.162277660168379134e-02,2.126728945144725963e+06
2.820000000000000000e+02,7.886722426753442483e-02,1.279932947495880647e-04,2.478185713859178477e-02,1.633252642747535233e-01,3.162277660168379134e-02,2.119688075850846712e+06
2.810000000000000000e+02,8.024097587674565435e-02,1.320511164581259118e-04,2.494541188633130763e-02,1.673984368262270983e-01,3.162277660168379134e-02,2.112647969438183587e+06
2.800000000000000000e+02,8.162020709451558997e-02,1.361726469543189709e-04,2.511056633374949415e-02,1.714878564132087391e-01,3.162277660168379134e-02,2.105608642253358383e+06
2.790000000000000000e+02,8.300497244316819290e-02,1.403590038236345267e-04,2.527734086607774308e-02,1.755936846943505214e-01,3.162277660168379134e-02,2.098570110831480939e+06
2.780000000000000000e+02,8.439532715530237428e-02,1.446113271472457913e-04,2.544575618481815724e-02,1.797160854342692293e-01,3.162277660168379134e-02,2.091532391899251146e+06
2.770000000000000000e+02,8.579132718512400002e-02,1.489307800156759092e-04,2.561583331344883044e-02,1.838552245371457283e-01,3.162277660168379134e-02,2.084495502378117526e+06
2.760000000000000000e+02,8.719302921999312617e-02,1.533185490555421322e-04,2.578759360324450745e-02,1.880112700809626058e-01,3.162277660168379134e-02,2.077459459387496579e+06
2.750000000000000000e+02,8.860049069218374485e-02,1.575801921468695610e-04,2.596105873921509752e-02,1.919460705808457290e-01,3.162277660168379134e-02,2.070424280248058960e+06
2.740000000000000000e+02,9.001376979086943286e-02,1.618982551707978765e-04,2.613625074616464025e-02,1.958839622863591257e-01,3.162277660168379134e-02,2.063389982485077577e+06
2.730000000000000000e+02,9.143292547432853301e-02,1.662846287441262303e-04,2.631319199487345065e-02,1.998382282200468762e-01,3.162277660168379134e-02,2.056356583831842989e+06
2.720000000000000000e+02,9.285801748238531328e-02,1.707405298261625251e-04,2.649190520840611837e-02,2.038090348380313388e-01,3.162277660168379134e-02,2.049324102233143756e+06
2.710000000000000000e+02,9.428910634908609090e-02,1.752672002948582554e-04,2.667241346854790432e-02,2.077965508094161695e-01,3.162277660168379134e-02,2.042292555848821765e+06
2.700000000000000000e+02,9.572625341561144530e-02,1.798659075255983986e-04,2.685474022237286512e-02,2.118009470522645432e-01,3.162277660168379134e-02,2.035261963057389949e+06
2.690000000000000000e+02,9.716952084343823126e-02,1.845379449849950386e-04,2.703890928894595036e-02,2.158223967702729562e-01,3.162277660168379134e-02,2.028232342459728010e+06
2.680000000000000000e+02,9.861897162775294656e-02,1.892846328401062315e-04,2.722494486616255580e-02,2.198610754901456910e-01,3.162277660168379134e-02,2.021203712882852415e+06
2.670000000000000000e+02,1.000746696111183831e-01,1.941073185835098911e-04,2.741287153772830124e-02,2.239171610996748274e-01,3.162277660168379134e-02,2.014176093383757630e+06
2.660000000000000000e+02,1.015366794974041642e-01,1.990073776746971944e-04,2.760271428028214860e-02,2.279908338865556383e-01,3.162277660168379134e-02,2.007149503253337229e+06
2.650000000000000000e+02,1.030050668659836105e-01,2.039862141982457238e-04,2.779449847066596882e-02,2.320822765779441132e-01,3.162277660168379134e-02,2.000123962020386243e+06
2.640000000000000000e+02,1.044798981862086196e-01,2.090452615392691797e-04,2.798824989334406516e-02,2.361916743807888908e-01,3.162277660168379134e-02,1.993099489455679432e+06
2.630000000000000000e+02,1.059612408321563143e-01,2.139253590895914315e-04,2.818399474797549445e-02,2.400267918163400682e-01,3.162277660168379134e-02,1.986076105576136848e+06
2.620000000000000000e+02,1.074491630976665002e-01,2.188328701431643038e-04,2.838175965714295063e-02,2.438221959892100665e-01,3.162277660168379134e-02,1.979053830649071606e+06
2.610000000000000000e+02,1.089437342116693908e-01,2.238192116280931891e-04,2.858157167424152725e-02,2.476345600986969986e-01,3.162277660168379134e-02,1.972032685196525184e+06
2.600000000000000000e+02,1.104450243538132870e-01,2.288858269766314761e-04,2.878345829153071758e-02,2.514640631596165021e-01,3.162277660168379134e-02,1.965012689999691909e+06
2.590000000000000000e+02,1.119531046703900884e-01,2.340341900729250532e-04,2.898744744835366621e-02,2.553108866525065079e-01,3.162277660168379134e-02,1.957993866103431908e+06
2.580000000000000000e+02,1.134680472905831711e-01,2.392658059815629644e-04,2.919356753952676367e-02,2.591752145650724759e-01,3.162277660168379134e-02,1.950976234820882557e+06
2.570000000000000000e+02,1.149899253430213958e-01,2.445822116955129774e-04,2.940184742390405254e-02,2.630572334344136176e-01,3.162277660168379134e-02,1.943959817738156067e+06
2.560000000000000000e+02,1.165188129726676819e-01,2.499849769040511671e-04,2.961231643311955722e-02,2.669571323901021032e-01,3.162277660168379134e-02,1.936944636719145812e+06
2.550000000000000000e+02,1.180547853580353607e-01,2.554757047812438527e-04,2.982500438051218644e-02,2.708751031980990431e-01,3.162277660168379134e-02,1.929930713910419960e+06
2.540000000000000000e+02,1.195979187287429663e-01,2.610560327955837017e-04,3.003994157023645931e-02,2.748113403055331139e-01,3.162277660168379134e-02,1.922918071746229194e+06
2.530000000000000000e+02,1.211482903834216196e-01,2.667276335414257241e-04,3.025715880656401277e-02,2.787660408863790740e-01,3.162277660168379134e-02,1.915906732953609200e+06
2.520000000000000000e+02,1.227059787079707170e-01,2.723677643846192701e-04,3.047668740337929755e-02,2.826102736375423197e-01,3.162277660168379134e-02,1.908896720557594905e+06
2.510000000000000000e+02,1.242710631941832539e-01,2.778580245429388839e-04,3.069855919387423290e-02,2.862232778292691515e-01,3.162277660168379134e-02,1.901888057886545081e+06
2.500000000000000000e+02,1.258436244587322062e-01,2.834376349450490025e-04,3.092280654044593860e-02,2.898535421955795166e-01,3.162277660168379134e-02,1.894880768577576848e+06
2.490000000000000000e+02,1.274237442625495986e-01,2.891082722097167330e-04,3.114946234480228324e-02,2.935012554819327879e-01,3.162277660168379134e-02,1.887874876582114259e+06
2.480000000000000000e+02,1.290115055305809388e-01,2.948716492883648164e-04,3.137856005827954764e-02,2.971666091209181348e-01,3.162277660168379134e-02,1.880870406171557494e+06
2.470000000000000000e+02,1.306069923719422876e-01,3.007295163575409401e-04,3.161013369237676562e-02,3.008497972787878005e-01,3.162277660168379134e-02,1.873867381943071727e+06
2.460000000000000000e+02,1.322102901004809372e-01,3.066836617357522718e-04,3.184421782951215446e-02,3.045510169029209679e-01,3.162277660168379134e-02,1.866865828825497068e+06
2.450000000000000000e+02,1.338214852557508827e-01,3.127359128253869133e-04,3.208084763400551043e-02,3.082704677702460261e-01,3.162277660168379134e-02,1.859865772085387725e+06
2.440000000000000000e+02,1.354406656244112883e-01,3.188881370804767714e-04,3.232005886329232525e-02,3.120083525366389998e-01,3.162277660168379134e-02,1.852867237333180616e+06
2.430000000000000000e+02,1.370679202620588288e-01,3.251422430010728754e-04,3.256188787937444595e-02,3.157648767873235118e-01,3.162277660168379134e-02,1.845870250529492740e+06
2.420000000000000000e+02,1.387033395155027049e-01,3.315001811550275911e-04,3.280637166051211112e-02,3.195402490882927049e-01,3.162277660168379134e-02,1.838874837991561042e+06
2.410000000000000000e+02,1.403470150454921572e-01,3.377921689556849538e-04,3.305354781316315743e-02,3.231703403539002983e-01,3.162277660168379134e-02,1.831881026399816386e+06
2.400000000000000000e+02,1.419990398499089146e-01,3.439657530040536463e-04,3.330345458417443422e-02,3.266073235251060747e-01,3.162277660168379134e-02,1.824888842804601882e+06
2.390000000000000000e+02,1.436595082874317364e-01,3.502412061873170536e-04,3.355613087323090077e-02,3.300618733967705110e-01,3.162277660168379134e-02,1.817898314633037196e+06
2.380000000000000000e+02,1.453285161016865390e-01,3.566204875275285312e-04,3.381161624556822121e-02,3.335341891603524345e-01,3.162277660168379134e-02,1.810909469696035143e+06
2.370000000000000000e+02,1.470061604458920146e-01,3.631055996424055682e-04,3.406995094495429005e-02,3.370244729399222705e-01,3.162277660168379134e-02,1.803922336195467738e+06
2.360000000000000000e+02,1.486925399080118448e-01,3.696985898441407714e-04,3.433117590694572535e-02,3.405329298444898511e-01,3.162277660168379134e-02,1.796936942731493618e+06
2.350000000000000000e+02,1.503877545364253610e-01,3.764015512689137134e-04,3.459533277242498456e-02,3.440597680214118603e-01,3.162277660168379134e-02,1.789953318310043076e+06
2.340000000000000000e+02,1.520919058661306666e-01,3.832166240380422946e-04,3.486246390142450080e-02,3.476051987109062269e-01,3.162277660168379134e-02,1.782971492350473534e+06
2.330000000000000000e+02,1.538050969454862194e-01,3.901459964517179583e-04,3.513261238724355723e-02,3.511694363016872877e-01,3.162277660168379134e-02,1.775991494693389861e+06
2.320000000000000000e+02,1.555274323635130462e-01,3.971919062163428780e-04,3.540582207086453992e-02,3.547526983877670181e-01,3.162277660168379134e-02,1.769013355608640239e+06
2.310000000000000000e+02,1.572590182777586221e-01,4.043148910248927220e-04,3.568213755567462009e-02,3.583182048907546657e-01,3.162277660168379134e-02,1.762037105803493643e+06
2.300000000000000000e+02,1.589999624427454183e-01,4.111921000952919753e-04,3.596160422249967265e-02,3.615810863508465145e-01,3.162277660168379134e-02,1.755062776430992642e+06
2.290000000000000000e+02,1.607503742390151702e-01,4.181842072576455547e-04,3.624426824495672467e-02,3.648617120667309588e-01,3.162277660168379134e-02,1.748090399098502006e+06
2.280000000000000000e+02,1.625103647027758003e-01,4.252934708204587195e-04,3.653017660513190046e-02,3.681602901427180607e-01,3.162277660168379134e-02,1.741120005876443814e+06
2.270000000000000000e+02,1.642800465561740086e-01,4.325222005409572841e-04,3.681937710959045512e-02,3.714770318429079787e-01,3.162277660168379134e-02,1.734151629307233263e+06
2.260000000000000000e+02,1.660595342382055750e-01,4.398727589510985337e-04,3.711191840572607148e-02,3.748121516491234040e-01,3.162277660168379134e-02,1.727185302414413309e+06
2.250000000000000000e+02,1.678489439362728097e-01,4.473475627213431669e-04,3.740784999845640779e-02,3.781658673200544163e-01,3.162277660168379134e-02,1.720221058712000260e+06
2.240000000000000000e+02,1.696483936184096930e-01,4.549490840633610466e-04,3.770722226727186988e-02,3.815383999516550606e-01,3.162277660168379134e-02,1.713258932214039611e+06
2.230000000000000000e+02,1.714580030661908838e-01,4.626798521728766093e-04,3.801008648364537224e-02,3.849299740388211766e-01,3.162277660168379134e-02,1.706298957444380270e+06
2.220000000000000000e+02,1.732778939083368386e-01,4.705424547138763159e-04,3.831649482880969404e-02,3.883408175383736838e-01,3.162277660168379134e-02,1.699341169446676504e+06
2.210000000000000000e+02,1.751081896550291950e-01,4.784107873421807326e-04,3.862650041191104805e-02,3.916657551325122277e-01,3.162277660168379134e-02,1.692385603794612223e+06
2.200000000000000000e+02,1.769490157329627056e-01,4.861286703381068595e-04,3.894015728854512831e-02,3.947785374328130481e-01,3.162277660168379134e-02,1.685432296602369286e+06
2.190000000000000000e+02,1.788004995211416315e-01,4.939773102114613807e-04,3.925752047968473352e-02,3.979093416050393239e-01,3.162277660168379134e-02,1.678481284535331652e+06
2.180000000000000000e+02,1.806627703874371660e-01,5.019593344772458774e-04,3.957864599100564124e-02,4.010583864064243831e-01,3.162277660168379134e-02,1.671532604821040062e+06
2.170000000000000000e+02,1.825359597259352817e-01,5.100774319129127181e-04,3.990359083261937195e-02,4.042258940204705442e-01,3.162277660168379134e-02,1.664586295260402840e+06
2.160000000000000000e+02,1.844202009950771659e-01,5.183343541713318712e-04,4.023241303922058670e-02,4.074120901214435264e-01,3.162277660168379134e-02,1.657642394239162793e+06
2.150000000000000000e+02,1.863156297566257169e-01,5.267329174405087876e-04,4.056517169065710499e-02,4.106172039402637974e-01,3.162277660168379134e-02,1.650700940739641432e+06
2.140000000000000000e+02,1.882223837154676782e-01,5.352760041514942552e-04,4.090192693293118187e-02,4.138414683318105691e-01,3.162277660168379134e-02,1.643761974352748832e+06
2.130000000000000000e+02,1.901406027602740023e-01,5.439665647359833486e-04,4.124273999963973258e-02,4.170851198436774654e-01,3.162277660168379134e-02,1.636825535290282685e+06
2.120000000000000000e+02,1.920704290050387342e-01,5.527897508484616758e-04,4.158767323386238640e-02,4.203348117236769821e-01,3.162277660168379134e-02,1.629891664397516055e+06
2.110000000000000000e+02,1.940120068315185631e-01,5.613688044781716020e-04,4.193679011050548827e-02,4.233046985329596557e-01,3.162277660168379134e-02,1.622960403166081058e+06
2.100000000000000000e+02,1.959654829325917780e-01,5.700950394379473291e-04,4.229015525911052759e-02,4.262927852455818956e-01,3.162277660168379134e-02,1.616031793747162214e+06
2.090000000000000000e+02,1.979310063565542788e-01,5.789714709762235805e-04,4.264783448713594521e-02,4.292992998496066859e-01,3.162277660168379134e-02,1.609105878965000156e+06
2.080000000000000000e+02,1.999087285523865054e-01,5.880011860517420433e-04,4.300989480372038182e-02,4.323244740052453183e-01,3.162277660168379134e-02,1.602182702330720145e+06
2.070000000000000000e+02,2.018988034160016931e-01,5.971873452549388960e-04,4.337640444393626310e-02,4.353685431155994157e-01,3.162277660168379134e-02,1.595262308056490729e+06
2.060000000000000000e+02,2.039013873375046526e-01,6.065331847857232100e-04,4.374743289354255521e-02,4.384317463989497732e-01,3.162277660168379134e-02,1.588344741070023505e+06
2.050000000000000000e+02,2.059166392494825304e-01,6.160420184893920055e-04,4.412305091424497533e-02,4.415143269626226052e-01,3.162277660168379134e-02,1.581430047029423527e+06
2.040000000000000000e+02,2.079447206763550549e-01,6.257172399525115546e-04,4.450333056947288618e-02,4.446165318784771614e-01,3.162277660168379134e-02,1.574518272338393144e+06
2.030000000000000000e+02,2.099857957848019208e-01,6.354524493656009366e-04,4.488834525068106235e-02,4.476612077157443581e-01,3.162277660168379134e-02,1.567609464161810931e+06
2.020000000000000000e+02,2.120400314353015347e-01,6.450532428826215997e-04,4.527816970418534898e-02,4.505123490886882576e-01,3.162277660168379134e-02,1.560703670441685943e+06
2.010000000000000000e+02,2.141075972348029377e-01,6.548210991617506261e-04,4.567288005854058808e-02,4.533819918148324635e-01,3.162277660168379134e-02,1.553800939913501032e+06
2.000000000000000000e+02,2.161886655905499444e-01,6.647595085254564542e-04,4.607255385246980528e-02,4.562703751838736999e-01,3.162277660168379134e-02,1.546901322122956160e+06
1.990000000000000000e+02,2.182834117651035744e-01,6.748720459203159158e-04,4.647727006335271305e-02,4.591777424484975167e-01,3.162277660168379134e-02,1.540004867443122901e+06
1.980000000000000000e+02,2.203920139325660221e-01,6.851623732208122304e-04,4.688710913628224564e-02,4.621043409024135351e-01,3.162277660168379134e-02,1.533111627092020120e+06
1.970000000000000000e+02,2.225146532360564866e-01,6.956342416013924172e-04,4.730215301369750797e-02,4.650504219601279132e-01,3.162277660168379134e-02,1.526221653150623199e+06
1.960000000000000000e+02,2.246515138464517114e-01,7.062914939788705621e-04,4.772248516560107651e-02,4.680162412384712978e-01,3.162277660168379134e-02,1.519334998581318418e+06
1.950000000000000000e+02,2.268027830224318420e-01,7.171380675273913161e-04,4.814819062036888864e-02,4.710020586399384368e-01,3.162277660168379134e-02,1.512451717246816028e+06
1.940000000000000000e+02,2.289686511718556639e-01,7.277809603949577082e-04,4.857935599616068634e-02,4.737496875699114818e-01,3.162277660168379134e-02,1.505571863929533400e+06
1.930000000000000000e+02,2.311493119144954478e-01,7.385939764469536288e-04,4.901606953293837637e-02,4.765047981016924394e-01,3.162277660168379134e-02,1.498695494351461064e+06
1.920000000000000000e+02,2.333449621461682055e-01,7.495981564039717795e-04,4.945842112509962751e-02,4.792788467921210716e-01,3.162277660168379134e-02,1.491822665194528177e+06
1.910000000000000000e+02,2.355558021042895300e-01,7.607975741485456696e-04,4.990650235473486490e-02,4.820720866270019056e-01,3.162277660168379134e-02,1.484953434121472994e+06
1.900000000000000000e+02,2.377820354348876286e-01,7.721964041775195280e-04,5.036040652551263680e-02,4.848847748986803707e-01,3.162277660168379134e-02,1.478087859797248151e+06
1.890000000000000000e+02,2.400238692611089686e-01,7.837989243791670078e-04,5.082022869720175667e-02,4.877171732925948411e-01,3.162277660168379134e-02,1.471226001910956576e+06
1.880000000000000000e+02,2.422815142532463994e-01,7.956095188929460452e-04,5.128606572083503623e-02,4.905695479757520294e-01,3.162277660168379134e-02,1.464367921198347351e+06
1.870000000000000000e+02,2.445551847003337997e-01,8.075951906432918791e-04,5.175801627452068787e-02,4.934192640392796037e-01,3.162277660168379134e-02,1.457513679464882240e+06
1.860000000000000000e+02,2.468450985833293421e-01,8.194207974670998000e-04,5.223618089990678809e-02,4.960615491918919928e-01,3.162277660168379134e-02,1.450663339609386865e+06
1.850000000000000000e+02,2.491514776499405837e-01,8.314576000346113717e-04,5.272066203930293737e-02,4.987228331856948249e-01,3.162277660168379134e-02,1.443816965648307931e+06
1.840000000000000000e+02,2.514745474911068146e-01,8.437101593594565230e-04,5.321156407346382122e-02,5.014033763254942544e-01,3.162277660168379134e-02,1.436974622740587452e+06
1.830000000000000000e+02,2.538145376192011415e-01,8.561831504416596164e-04,5.370899336003730901e-02,5.041034434409593645e-01,3.162277660168379134e-02,1.430136377213179134e+06
1.820000000000000000e+02,2.561716815479679332e-01,8.688813654363128879e-04,5.421305827268067812e-02,5.068233039788602179e-01,3.162277660168379134e-02,1.423302296587218298e+06
