# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
3.160000000000000000e+02,3.507258527447912333e-02,5.141253986674824506e-05,1.821866291927706424e-02,8.928133593820915259e-02,3.162277660168379134e-02,2.359408520010277629e+06,1.052378152957502287e+06,9.995208974876194086e-01
3.150000000000000000e+02,3.628805467909890919e-02,5.486859840356429372e-05,1.832723877045996930e-02,9.466846400442864573e-02,3.162277660168379134e-02,2.352350571914055850e+06,1.032139752447612933e+06,1.000049501642720440e+00
3.140000000000000000e+02,3.750750366722218482e-02,5.840617839828911832e-05,1.843678046491335071e-02,1.000732301336894892e-01,3.162277660168379134e-02,2.345292935770397075e+06,1.011835089138759067e+06,1.001050042099353332e+00
3.130000000000000000e+02,3.873096809351190412e-02,6.190383103117187626e-05,1.854729926182966532e-02,1.054957932388037867e-01,3.162277660168379134e-02,2.338235623116015457e+06,9.914635660261730663e+05,1.000464552079306735e+00
3.120000000000000000e+02,3.995848423739876976e-02,6.554151752188779934e-05,1.865880658136155265e-02,1.109363141152128751e-01,3.162277660168379134e-02,2.331178645600538701e+06,9.710245790324129630e+05,1.001287737711868742e+00
3.110000000000000000e+02,4.119008880927566008e-02,6.910672448998459155e-05,1.877131400732285488e-02,1.163949554684419047e-01,3.162277660168379134e-02,2.324122014988200739e+06,9.505175169042203343e+05,1.000210652729739191e+00
3.100000000000000000e+02,4.242581895680123255e-02,7.278899183794147081e-05,1.888483328994126215e-02,1.218718819420383237e-01,3.162277660168379134e-02,2.317065743159554899e+06,9.299417611075615278e+05,1.000112905209428416e+00
3.090000000000000000e+02,4.366571227130936622e-02,7.656486121843474979e-05,1.899937634866349229e-02,1.273672601459792941e-01,3.162277660168379134e-02,2.310009842113222927e+06,9.092966857209053123e+05,1.000535143037007080e+00
3.080000000000000000e+02,4.490980679433387995e-02,8.038135668439015528e-05,1.911495527501418101e-02,1.328812586855902811e-01,3.162277660168379134e-02,2.302954323967673350e+06,8.885816573265823536e+05,1.000733210450750033e+00
3.070000000000000000e+02,4.615814102424150439e-02,8.410736497370013322e-05,1.923158233550961368e-02,1.384140481909431619e-01,3.162277660168379134e-02,2.295899200963034295e+06,8.677960349003415322e+05,9.991687390725559892e-01
3.060000000000000000e+02,4.741075392298332164e-02,8.793104448968711701e-05,1.934926997462746781e-02,1.439658013467796649e-01,3.162277660168379134e-02,2.288844485462934710e+06,8.469391696989338379e+05,9.982017082511118744e-01
3.050000000000000000e+02,4.866768492296019016e-02,9.194839585246115628e-05,1.946803081783366959e-02,1.495366929229397790e-01,3.162277660168379134e-02,2.281790189956383314e+06,8.260104051457982277e+05,9.987904013794364211e-01
3.040000000000000000e+02,4.992897393401455469e-02,9.614813089867797985e-05,1.958787767466783208e-02,1.551268998053505210e-01,3.162277660168379134e-02,2.274736327059676871e+06,8.050090767146433936e+05,1.000613480717237325e+00
3.030000000000000000e+02,5.119466135053767075e-02,1.001892487756223345e-04,1.970882354188809721e-02,1.607366010275259882e-01,3.162277660168379134e-02,2.267682909518348053e+06,7.839345118111073971e+05,1.000105092480118696e+00
3.020000000000000000e+02,5.246478805870513629e-02,1.046546216633045519e-04,1.983088160667707822e-02,1.663580469831616726e-01,3.162277660168379134e-02,2.260629950209146366e+06,7.635952629899618914e+05,1.003165475151674091e+00
3.010000000000000000e+02,5.373939544383875278e-02,1.085156422196924654e-04,1.995406524990997119e-02,1.719109274511465557e-01,3.162277660168379134e-02,2.253577462142051198e+06,7.522039339297382394e+05,1.000362662227731070e+00
3.000000000000000000e+02,5.501852539789941349e-02,1.129225381757410193e-04,2.007838804948616773e-02,1.774835106801172790e-01,3.162277660168379134e-02,2.246525458462330513e+06,7.407721860931554111e+05,1.002060117196216238e+00
2.990000000000000000e+02,5.630222032711030417e-02,1.171031855986733050e-04,2.020386378372584016e-02,1.830759814145616338e-01,3.162277660168379134e-02,2.239473952452629339e+06,7.292996404903784860e+05,1.001158656341586628e+00
2.980000000000000000e+02,5.759052315971669583e-02,1.213584997696381214e-04,2.033050643483277908e-02,1.886885266731784250e-01,3.162277660168379134e-02,2.232422957535099238e+06,7.177859134661942953e+05,1.000406508611228373e+00
2.970000000000000000e+02,5.888347735388391180e-02,1.257871294136901933e-04,2.045833019242493736e-02,1.943213357832853927e-01,3.162277660168379134e-02,2.225372487273570150e+06,7.062306166294267168e+05,1.000565525733910555e+00
2.960000000000000000e+02,6.018112690573438478e-02,1.300729442872768820e-04,2.058734945713423456e-02,1.999746004158329815e-01,3.162277660168379134e-02,2.218322555375757162e+06,6.946333567811081884e+05,9.991062983787702967e-01
2.950000000000000000e+02,6.148351635752723893e-02,1.349403425770505274e-04,2.071757884427693694e-02,2.056485146210389470e-01,3.162277660168379134e-02,2.211273175695511978e+06,6.829937358413775219e+05,1.001560598672137647e+00
2.940000000000000000e+02,6.279069080598978503e-02,1.393009248881250960e-04,2.084903318759634069e-02,2.113432748646850157e-01,3.162277660168379134e-02,2.204224362235113513e+06,6.713113507750206627e+05,9.997229143122019490e-01
2.930000000000000000e+02,6.410269591079280349e-02,1.436978760068309611e-04,2.098172754307899013e-02,2.170590800650396279e-01,3.162277660168379134e-02,2.197176129147604574e+06,6.595857935157257598e+05,9.977716214463853150e-01
2.920000000000000000e+02,6.541957790317762256e-02,1.488043616340069134e-04,2.111567719284651937e-02,2.227961316304423456e-01,3.162277660168379134e-02,2.190128490739168134e+06,6.478166508889819961e+05,1.000237196742150170e+00
2.910000000000000000e+02,6.674138359474483806e-02,1.535447252701792060e-04,2.125089764912429721e-02,2.285546334975921412e-01,3.162277660168379134e-02,2.183081461471550632e+06,6.360035045335338218e+05,9.996951655733041786e-01
2.900000000000000000e+02,6.806816038639589006e-02,1.582768251766313711e-04,2.138740465828864457e-02,2.343347921705017933e-01,3.162277660168379134e-02,2.176035055964534171e+06,6.241459308214683551e+05,9.986710713572098941e-01
2.890000000000000000e+02,6.939995627743991702e-02,1.633519433822591129e-04,2.152521420499468180e-02,2.401368167601723169e-01,3.162277660168379134e-02,2.168989288998443633e+06,6.122435007768268697e+05,9.993510527057666293e-01
2.880000000000000000e+02,7.073681987486374334e-02,1.680459771290228170e-04,2.166434251638590935e-02,2.455645389747769802e-01,3.162277660168379134e-02,2.161944175516717136e+06,5.957123009970296407e+05,9.988883655975029363e-01
2.870000000000000000e+02,7.207880040277195310e-02,1.729838938140527537e-04,2.180480606638799876e-02,2.508350286065118007e-01,3.162277660168379134e-02,2.154899730628511868e+06,5.770594645820986480e+05,1.000150267849095220e+00
2.860000000000000000e+02,7.342594771199964510e-02,1.774910696182701317e-04,2.194662158008800490e-02,2.561258102371299916e-01,3.162277660168379134e-02,2.147855969611369073e+06,5.583348125746611040e+05,9.985170524595200492e-01
2.850000000000000000e+02,7.477831228989985368e-02,1.827860169889703921e-04,2.208980603820147326e-02,2.614370821504852227e-01,3.162277660168379134e-02,2.140812907913918607e+06,5.395376432265785988e+05,1.000884305064256852e+00
2.840000000000000000e+02,7.613594527031058989e-02,1.874411944606954811e-04,2.223437668162864603e-02,2.667690451694340603e-01,3.162277660168379134e-02,2.133770561158651020e+06,5.206672458039054764e+05,9.993201622918789218e-01
2.830000000000000000e+02,7.749889844370584646e-02,1.924002715208685205e-04,2.238035101610249752e-02,2.721219026957029663e-01,3.162277660168379134e-02,2.126728945144725963e+06,5.017229004457948031e+05,9.990225422772838204e-01
2.820000000000000000e+02,7.886722426753442483e-02,1.973842065139511147e-04,2.252774681692995898e-02,2.774958607504928731e-01,3.162277660168379134e-02,2.119688075850846712e+06,4.827038780207943637e+05,9.984771582853414484e-01
2.810000000000000000e+02,8.024097587674565435e-02,2.027820650575263260e-04,2.267658213382874738e-02,2.828911280158179498e-01,3.162277660168379134e-02,2.112647969438183587e+06,4.636094399805443827e+05,9.996146600565385398e-01
2.800000000000000000e+02,8.162020709451558997e-02,2.075869325609747595e-04,2.282687529586168232e-02,2.883079158766315708e-01,3.162277660168379134e-02,2.105608642253358383e+06,4.444388382106887875e+05,9.974634219056537354e-01
2.790000000000000000e+02,8.300497244316819290e-02,2.136611798065211258e-04,2.297864491647094373e-02,2.937464384637181736e-01,3.162277660168379134e-02,2.098570110831480939e+06,4.251913148790772539e+05,1.000987371275321669e+00
2.780000000000000000e+02,8.439532715530237428e-02,2.188742285989746076e-04,2.313190989861396707e-02,2.992069126973935234e-01,3.162277660168379134e-02,2.091532391899251146e+06,4.058661022811033763e+05,1.000026511091677950e+00
2.770000000000000000e+02,8.579132718512400002e-02,2.244713375453852376e-04,2.328668944000371679e-02,3.046895583320101131e-01,3.162277660168379134e-02,2.084495502378117526e+06,3.864624226821974735e+05,1.000450422141806017e+00
2.760000000000000000e+02,8.719302921999312617e-02,2.302728462285794043e-04,2.344300303845531577e-02,3.101945980013074977e-01,3.162277660168379134e-02,2.077459459387496579e+06,3.669794881573246093e+05,1.001371564514987877e+00
2.750000000000000000e+02,8.860049069218374485e-02,2.352928146474676850e-04,2.360087049734153550e-02,3.150561333906886641e-01,3.162277660168379134e-02,2.070424280248058960e+06,3.642079509590421221e+05,1.000674203924803995e+00
2.740000000000000000e+02,9.001376979086943286e-02,2.407781063471136284e-04,2.376031193115940229e-02,3.199009442856439733e-01,3.162277660168379134e-02,2.063389982485077577e+06,3.623530864844658645e+05,1.001726896087181240e+00
2.730000000000000000e+02,9.143292547432853301e-02,2.456917594032578638e-04,2.392134777121053893e-02,3.247659004880348865e-01,3.162277660168379134e-02,2.056356583831842989e+06,3.604905092599181808e+05,1.000079493313578149e+00
2.720000000000000000e+02,9.285801748238531328e-02,2.512814455040584031e-04,2.408399877139765291e-02,3.296512067897894860e-01,3.162277660168379134e-02,2.049324102233143756e+06,3.586201408795994357e+05,1.000868809501505252e+00
