# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
2.430000000000000000e+02,1.278409943748995137e-01,3.925175295183620967e-04,2.837852614427158540e-02,4.365061648973144193e-01,3.162277660168379134e-02,1.886030738450951176e+06,1.896923344414125313e+05,1.002025649632942939e+00
2.420000000000000000e+02,1.293920161739779140e-01,3.976737345016757613e-04,2.858259645400842638e-02,4.404730101781202944e-01,3.162277660168379134e-02,1.879197012278683716e+06,1.897154283647199918e+05,9.988630032672308756e-01
2.410000000000000000e+02,1.309501076549006715e-01,4.043491220205009903e-04,2.878878355352457175e-02,4.444579366580929114e-01,3.162277660168379134e-02,1.872365997442957014e+06,1.897386275519833725e+05,9.993152711076105366e-01
2.400000000000000000e+02,1.325153403025322862e-01,4.118287915295572180e-04,2.899711515729254396e-02,4.484611271647061526e-01,3.162277660168379134e-02,1.865537732168272138e+06,1.897619330675758829e+05,1.001468072040533563e+00
2.390000000000000000e+02,1.340877864950698051e-01,4.178452081175606419e-04,2.920761940224870720e-02,4.524827668101933931e-01,3.162277660168379134e-02,1.858712255194493337e+06,1.897853459891719103e+05,9.998094144013315310e-01
2.380000000000000000e+02,1.356675195164789016e-01,4.238458683150757712e-04,2.942032485475472997e-02,4.565230430233538916e-01,3.162277660168379134e-02,1.851889605785760563e+06,1.898088674079323246e+05,9.979247334179986995e-01
2.370000000000000000e+02,1.372546135690846103e-01,4.309596604300101235e-04,2.963526051766987926e-02,4.605821455817543653e-01,3.162277660168379134e-02,1.845069823739577783e+06,1.898324984286919353e+05,9.984372429802651494e-01
2.360000000000000000e+02,1.388491437863364764e-01,4.372509752266252338e-04,2.985245583753515924e-02,4.646602666443766516e-01,3.162277660168379134e-02,1.838252949396084761e+06,1.898562401701493945e+05,9.968164238468903982e-01
2.350000000000000000e+02,1.404511862457347993e-01,4.455095653559323367e-04,3.007194071187068232e-02,4.684760717763366000e-01,3.162277660168379134e-02,1.831439023647511611e+06,1.890935113624733931e+05,1.000018796427047940e+00
2.340000000000000000e+02,1.420608179819299877e-01,4.521749469182434803e-04,3.029374549658697333e-02,4.720434310649419540e-01,3.162277660168379134e-02,1.824628087947827997e+06,1.875825152302073257e+05,9.999345290119785457e-01
2.330000000000000000e+02,1.436781169999865881e-01,4.597582282271986398e-04,3.051790101351168835e-02,4.756277830286739228e-01,3.162277660168379134e-02,1.817820184322582325e+06,1.860643216545900505e+05,1.001630718342586324e+00
2.320000000000000000e+02,1.453031622888235896e-01,4.656578266748983663e-04,3.074443855803247333e-02,4.792293027273599182e-01,3.162277660168379134e-02,1.811015355378940469e+06,1.845388564870144764e+05,9.994405707303721798e-01
2.310000000000000000e+02,1.469360338348147110e-01,4.737037686930088373e-04,3.097338990685698235e-02,4.828481674314442640e-01,3.162277660168379134e-02,1.804213644315928454e+06,1.830060446425413247e+05,1.001630436126353052e+00
2.300000000000000000e+02,1.485768126355729302e-01,4.802679471822754171e-04,3.120478732589125961e-02,4.864845566525386467e-01,3.162277660168379134e-02,1.797415094934879802e+06,1.814658100869589834e+05,1.000445229703619265e+00
2.290000000000000000e+02,1.502255807138951071e-01,4.888902241558224469e-04,3.143866357823680430e-02,4.901386521743266167e-01,3.162277660168379134e-02,1.790619751650098013e+06,1.799180758236936235e+05,1.003294253146916892e+00
2.280000000000000000e+02,1.518824211318833828e-01,4.952707741280083526e-04,3.167505193230777533e-02,4.938106380838604426e-01,3.162277660168379134e-02,1.783827659499733010e+06,1.783627638805531024e+05,1.001301631602428133e+00
2.270000000000000000e+02,1.535474180052401050e-01,5.020919074927988716e-04,3.191398617006846461e-02,4.975007008032424349e-01,3.162277660168379134e-02,1.777038864156882279e+06,1.767997952963079151e+05,1.000019508384935918e+00
2.260000000000000000e+02,1.552206565177298159e-01,5.091721829345055529e-04,3.215550059539241945e-02,5.012090291216763083e-01,3.162277660168379134e-02,1.770253411940913182e+06,1.752290901071155095e+05,9.990575545746809283e-01
2.250000000000000000e+02,1.569022229358187637e-01,5.171484417831924288e-04,3.239963004254306500e-02,5.049358142279118944e-01,3.162277660168379134e-02,1.763471349829023704e+06,1.736505673327777477e+05,9.996293379860021755e-01
